date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-13,California,State,Other,228.0,39.58,174.71428571428,43.261407852848
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.247612309869
2021-01-13,California,State,Omicron,2.0,0.35,1.28571428571,0.318358684117
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Other,234.0,34.77,189.85714285714,41.622298778578
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.50328844347
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Omicron,0.0,0.0,1.0,0.219229564673
2021-01-14,California,State,Total,673.0,100.0,456.14285714285,100.0
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.219229564673
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Epsilon,425.0,63.15,257.0,56.341998120889
2021-01-15,California,State,Epsilon,312.0,55.61,290.42857142857,56.378258458125
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.166389351082
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027731558514
2021-01-15,California,State,Other,239.0,42.6,214.71428571428,41.680532445923
2021-01-15,California,State,Total,561.0,100.0,515.14285714285,100.0
2021-01-15,California,State,Delta,2.0,0.36,1.0,0.194120909595
2021-01-15,California,State,Alpha,8.0,1.43,7.71428571428,1.497504159734
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027731558514
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027731558514
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026253609871
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026253609871
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.131268049357
2021-01-16,California,State,Other,328.0,44.93,230.57142857142,42.373326332371
2021-01-16,California,State,Total,730.0,100.0,544.14285714285,100.0
2021-01-16,California,State,Epsilon,385.0,52.74,302.28571428571,55.552638487792
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.157521659228
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026253609871
2021-01-16,California,State,Alpha,17.0,2.33,9.28571428571,1.706484641638
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.100908173562
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Other,128.0,41.03,239.14285714285,42.230070635721
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.715438950555
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025227043391
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025227043391
2021-01-17,California,State,Epsilon,180.0,57.69,315.42857142857,55.701311806256
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.151362260343
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050454086781
2021-01-17,California,State,Total,312.0,100.0,566.28571428571,100.0
2021-01-18,California,State,Epsilon,431.0,58.24,338.42857142857,57.222222222222
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Delta,2.0,0.27,0.85714285714,0.144927536232
2021-01-18,California,State,Other,294.0,39.73,241.14285714285,40.772946859903
2021-01-18,California,State,Alpha,13.0,1.76,10.42857142857,1.763285024155
2021-01-18,California,State,Total,740.0,100.0,591.42857142857,100.0
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048309178744
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048309178744
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Delta,1.0,0.08,0.85714285714,0.124947938359
2021-01-19,California,State,Epsilon,675.0,55.79,392.0,57.142857142857
2021-01-19,California,State,Omicron,3.0,0.25,0.71428571428,0.104123281966
2021-01-19,California,State,Total,1210.0,100.0,686.0,100.0
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.728446480633
2021-01-19,California,State,Other,512.0,42.31,280.42857142857,40.878800499792
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020824656393
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Omicron,1.0,0.4,0.57142857142,0.089425441538
2021-01-20,California,State,Other,76.0,30.77,258.71428571428,40.487368656383
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Epsilon,153.0,61.94,365.85714285714,57.25463894478
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.044712720769
2021-01-20,California,State,Delta,1.0,0.4,0.85714285714,0.134138162307
2021-01-20,California,State,Alpha,15.0,6.07,12.71428571428,1.989716074223
2021-01-20,California,State,Total,247.0,100.0,639.0,100.0
2021-01-21,California,State,Omicron,0.0,0.0,0.57142857142,0.10274852299
2021-01-21,California,State,Epsilon,47.0,50.54,311.85714285714,56.075006421783
2021-01-21,California,State,Total,93.0,100.0,556.14285714285,100.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Delta,1.0,1.08,1.0,0.179809915232
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051374261495
2021-01-21,California,State,Other,18.0,19.35,227.85714285714,40.970973542255
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Alpha,27.0,29.03,14.57142857142,2.620087336245
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Delta,1.0,2.0,0.85714285714,0.177409816677
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Total,50.0,100.0,483.14285714285,100.0
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.059136605559
2021-01-22,California,State,Omicron,0.0,0.0,0.57142857142,0.118273211118
2021-01-22,California,State,Alpha,7.0,14.0,14.42857142857,2.986398580721
2021-01-22,California,State,Other,12.0,24.0,195.42857142857,40.449438202247
2021-01-22,California,State,Epsilon,30.0,60.0,271.57142857142,56.209343583678
2021-01-23,California,State,Alpha,11.0,39.29,13.57142857142,3.544776119403
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
